1377,gi|6319743|ref|NP_009825.1|,"Cytoplasmic pre-60S factor; required for the correct recycling of shuttling factors Alb1, Arx1 and Tif6 at the end of the ribosomal large subunit biogenesis; involved in bud growth in the mitotic signaling network; Rei1p [Saccharomyces cerevisiae] ",393,45834,6,o,Q,REI1,YBR267W,II,1,1,0,1,1,1,2.29,0.00002794,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000028,1,2,2,0,2,2,2,8.14,0.00005649,X,X,X,X,X,X,X,X,1,2,0,1,2,2,3.82,0.0000585,X,X,X,X,X,X,X,X,0.000057,2,1,1,0,1,1,1,7.89,0.00002621,X,X,X,X,X,X,X,X,2,2,0,2,2,2,7.12,0.00005411,2,4,0,2,4,4,7.63,0.00011844,0.000066,3,2,3,0,2,3,3,7.89,0.00007291,2,2,0,2,2,2,8.14,0.00004968,1,2,0,1,2,2,3.82,0.000049,1,1,0,1,1,1,3.82,0.00002467,0.000049,4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,2,0,1,2,2,3.82,0.00005969,X,X,X,X,X,X,X,X,0.00006,1,3,4,0,3,4,4,10.94,0.00008916,X,X,X,X,X,X,X,X,1,2,0,1,2,2,3.82,0.00004879,2,2,0,2,2,2,6.36,0.00004467,0.000061,3,,
1378,gi|6319750|ref|NP_009832.1|,UBX (ubiquitin regulatory X) domain-containing protein that interacts with Cdc48p; Ubx7p [Saccharomyces cerevisiae] ,436,50031,6.3,o,Q,UBX7,YBR273C,II,1,2,0,1,2,2,5.5,0.00005037,X,X,X,X,X,X,X,X,1,1,0,1,1,1,6.42,0.00002062,X,X,X,X,X,X,X,X,0.000035,2,1,1,0,1,1,1,5.5,0.00002546,1,2,0,1,2,2,2.75,0.00005628,X,X,X,X,X,X,X,X,1,2,0,1,2,2,2.75,0.00004798,0.000043,3,1,2,0,1,2,2,2.06,0.00004725,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,1,0,1,1,1,2.06,0.00002669,0.000037,2,1,4,0,1,4,4,5.5,0.00008762,3,8,0,3,8,8,12.61,0.00017911,2,4,0,2,4,4,9.86,0.00008833,3,7,0,3,7,7,16.28,0.00015569,0.000128,4,1,1,0,1,1,1,5.5,0.00002063,X,X,X,X,X,X,X,X,1,1,0,1,1,1,3.9,0.0000269,X,X,X,X,X,X,X,X,0.000024,2,1,2,0,1,2,2,4.36,0.00004018,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.00004,1,,
1379,gi|6319653|ref|NP_009735.1|,"Ketopantoate hydroxymethyltransferase, required for pantothenic acid biosynthesis, converts 2-oxoisovalerate into 2-dehydropantoate; Ecm31p [Saccharomyces cerevisiae] ",312,34465,8.1,o,Q,ECM31,YBR176W,II,X,X,X,X,X,X,X,X,1,1,0,1,1,1,5.13,0.00003281,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000033,1,1,2,0,1,2,2,5.13,0.00007116,X,X,X,X,X,X,X,X,1,2,0,1,2,2,4.49,0.00007369,X,X,X,X,X,X,X,X,0.000072,2,1,1,0,1,1,1,4.49,0.00003302,1,1,0,1,1,1,4.49,0.00003146,X,X,X,X,X,X,X,X,1,1,0,1,1,1,4.49,0.0000373,0.000034,3,2,2,0,2,2,2,9.62,0.00006122,1,1,0,1,1,1,5.45,0.00003129,1,1,0,1,1,1,5.13,0.00003086,2,2,1,2,1,1,9.62,0.00003108,0.000039,4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,1,0,1,1,1,4.49,0.00003759,X,X,X,X,X,X,X,X,0.000038,1,1,1,0,1,1,1,4.49,0.00002808,1,2,0,1,2,2,4.49,0.00005711,X,X,X,X,X,X,X,X,1,3,0,1,3,3,5.13,0.00008441,0.000057,3,,
1380,gi|6325171|ref|NP_015239.1|,"Subunit of Elongator complex, which is required for modification of wobble nucleosides in tRNA; exhibits histone acetyltransferase activity that is directed to histones H3 and H4; disruption confers resistance to K. lactis zymotoxin; Elp3p [Saccharomyces ",557,63657,9,o,Q,ELP3,YPL086C,XVI,2,4,0,2,4,4,5.75,0.00007885,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000079,1,1,1,0,1,1,1,2.51,0.00001993,X,X,X,X,X,X,X,X,1,2,0,1,2,2,2.51,0.00004128,X,X,X,X,X,X,X,X,0.000031,2,1,1,0,1,1,1,3.05,0.00001849,2,3,0,2,3,3,5.92,0.00005287,1,1,0,1,1,1,1.8,0.00001909,X,X,X,X,X,X,X,X,0.00003,3,2,2,0,2,2,2,5.57,0.00003429,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000034,1,4,7,0,4,7,7,9.52,0.00011302,2,4,0,2,4,4,4.31,0.00007305,1,1,0,1,1,1,2.69,0.00002106,1,1,0,1,1,1,3.05,0.00001707,0.000056,4,X,X,X,X,X,X,X,X,1,1,0,1,1,1,2.69,0.000016,1,1,0,1,1,1,2.69,0.00001721,1,1,0,1,1,1,3.05,0.00001576,0.000016,3,,
1381,gi|6319601|ref|NP_009683.1|,Cytoplasmic type 2C protein phosphatase; identified as a high-copy number suppressor of the synthetic lethality of a cnb1 mpk1 double deletion; overexpression decreases high-osmolarity induced Hog1p phosphorylation and kinase activity; Ptc4p [Saccharomyce,393,44176,7.4,o,Q,PTC4,YBR125C,II,1,2,0,1,2,2,3.56,0.00005588,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000056,1,1,1,0,1,1,1,3.56,0.00002825,X,X,X,X,X,X,X,X,1,1,0,1,1,1,3.56,0.00002925,1,2,0,1,2,2,3.56,0.00005323,0.000037,3,1,1,0,1,1,1,3.56,0.00002621,1,1,0,1,1,1,3.05,0.00002498,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000026,2,1,1,0,1,1,1,3.56,0.0000243,1,1,0,1,1,1,3.56,0.00002484,2,3,0,2,3,3,6.11,0.0000735,1,2,0,1,2,2,3.56,0.00004935,0.000043,4,1,1,0,1,1,1,3.56,0.00002288,X,X,X,X,X,X,X,X,1,1,0,1,1,1,2.54,0.00002985,X,X,X,X,X,X,X,X,0.000026,2,2,3,0,2,3,3,6.36,0.00006687,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,2,0,1,2,2,3.56,0.00004467,0.000056,2,,
1382,gi|6321906|ref|NP_011982.1|,"SH3 domain protein implicated in the regulation of actin polymerization, able to recruit actin polymerization machinery through its SH3 domains, colocalizes with cortical actin patches and Las17p, interacts with type I myosins; Bzz1p [Saccharomyces cerevi",633,71171,6,o,Q,BZZ1,YHR114W,VIII,2,3,0,2,3,3,5.69,0.00005204,X,X,X,X,X,X,X,X,3,5,0,3,5,5,7.74,0.000071,1,2,0,1,2,2,2.53,0.00003476,0.000053,3,2,3,0,2,3,3,4.42,0.00005261,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000053,1,1,1,0,1,1,1,3.16,0.00001627,1,1,0,1,1,1,3.16,0.00001551,X,X,X,X,X,X,X,X,1,3,0,1,3,3,1.9,0.00005515,0.000029,3,X,X,X,X,X,X,X,X,1,2,0,1,2,2,2.53,0.00003084,2,3,0,2,3,3,6.16,0.00004563,2,4,0,2,4,4,5.69,0.00006128,0.000046,3,2,3,0,2,3,3,5.69,0.00004262,1,2,0,1,2,2,2.53,0.00003214,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000037,2,1,1,0,1,1,1,2.05,0.00001384,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,2,0,1,2,2,3.16,0.00002774,0.000021,2,,
1383,gi|6322746|ref|NP_012819.1|,"Vacuolar aminopeptidase, often used as a marker protein in studies of autophagy and cytosol to vacuole targeting (CVT) pathway; Lap4p [Saccharomyces cerevisiae] ",514,57093,5.8,o,Q,LAP4,YKL103C,XI,X,X,X,X,X,X,X,X,1,1,0,1,1,1,2.92,0.00001992,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.00002,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,1,0,1,1,1,2.33,0.00002035,0.00002,1,1,2,0,1,2,2,3.31,0.00004008,X,X,X,X,X,X,X,X,1,2,0,1,2,2,3.31,0.00004137,X,X,X,X,X,X,X,X,0.000041,2,5,8,0,5,8,8,12.45,0.00014866,3,3,0,3,3,3,8.56,0.00005697,3,3,0,3,3,3,9.73,0.0000562,5,8,0,5,8,8,13.42,0.00015093,0.000103,4,1,2,0,1,2,2,2.92,0.00003499,1,2,0,1,2,2,3.31,0.00003958,1,1,0,1,1,1,3.31,0.00002282,X,X,X,X,X,X,X,X,0.000032,3,1,1,0,1,1,1,2.33,0.00001704,1,1,0,1,1,1,3.31,0.00001733,X,X,X,X,X,X,X,X,1,2,0,1,2,2,3.31,0.00003416,0.000023,3,,
1384,gi|6319675|ref|NP_009757.1|,"Subunit (90 kDa) of TFIID and SAGA complexes, involved in RNA polymerase II transcription initiation and in chromatin modification; Taf5p [Saccharomyces cerevisiae] ",798,88968,7.4,o,Q,TAF5,YBR198C,II,2,3,0,2,3,3,6.14,0.00004128,1,1,0,1,1,1,2.38,0.00001283,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000027,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,2,0,1,2,2,1.75,0.00002621,0.000026,1,X,X,X,X,X,X,X,X,2,2,0,2,2,2,2.88,0.0000246,2,2,0,2,2,2,4.26,0.00002665,1,1,0,1,1,1,1.75,0.00001458,0.000022,3,3,5,0,3,5,5,7.89,0.00005984,7,13,0,7,13,13,13.41,0.00015902,2,3,0,2,3,3,3.26,0.0000362,7,11,0,7,11,11,14.04,0.00013367,0.000097,4,3,5,0,3,5,5,5.51,0.00005635,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2,3,0,2,3,3,3.13,0.00003573,0.000046,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,1,0,1,1,1,1.63,0.00001201,2,2,0,2,2,2,3.38,0.000022,0.000017,2,,
1385,gi|6320606|ref|NP_010686.1|,"Nucleolar protein, component of the small subunit (SSU) processome containing the U3 snoRNA that is involved in processing of pre-18S rRNA; Utp5p [Saccharomyces cerevisiae] ",643,72002,4.9,o,Q,UTP5,YDR398W,IV,X,X,X,X,X,X,X,X,2,6,0,2,6,6,4.67,0.00009552,1,2,0,1,2,2,2.02,0.00002796,X,X,X,X,X,X,X,X,0.000062,2,X,X,X,X,X,X,X,X,1,1,0,1,1,1,5.29,0.00001908,X,X,X,X,X,X,X,X,1,1,0,1,1,1,2.02,0.00001627,0.000018,2,2,3,0,2,3,3,3.89,0.00004806,2,4,0,2,4,4,3.89,0.00006107,X,X,X,X,X,X,X,X,1,1,0,1,1,1,2.02,0.0000181,0.000042,3,2,3,0,2,3,3,5.29,0.00004456,3,3,0,3,3,3,7.15,0.00004554,1,2,0,1,2,2,2.02,0.00002995,X,X,X,X,X,X,X,X,0.00004,3,2,3,0,2,3,3,3.89,0.00004196,2,3,0,2,3,3,4.2,0.00004746,X,X,X,X,X,X,X,X,2,3,0,2,3,3,5.6,0.00004435,0.000045,3,1,2,0,1,2,2,2.02,0.00002725,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000027,1,,
1386,gi|6321927|ref|NP_012003.1|,"Palmitoylated, plasma membrane-bound casein kinase I isoform; shares redundant functions with Yck2p in morphogenesis, proper septin assembly, endocytic trafficking; provides an essential function overlapping with that of Yck2p; Yck1p [Saccharomyces cerevi",538,61715,9,o,Q,YCK1,YHR135C,VIII,1,1,0,1,1,1,3.9,0.00002041,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2,2,0,2,2,2,7.06,0.00004089,0.000031,2,1,1,0,1,1,1,3.16,0.00002063,1,1,0,1,1,1,3.16,0.0000228,1,2,0,1,2,2,3.16,0.00004273,X,X,X,X,X,X,X,X,0.000029,3,2,2,1,1,1,1.2,7.62,0.00002298,2,2,0,2,2,2,6.13,0.00003649,2,2,1,1,1,1.125,12.83,0.00002224,1,2,0,1,2,2,3.16,0.00004326,0.000031,4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2,4,0,2,4,4,4.83,0.00007159,X,X,X,X,X,X,X,X,0.000072,1,2,5,2,2,3,3,7.06,0.00005015,2,3,0,2,3,3,6.13,0.00005672,X,X,X,X,X,X,X,X,2,3,0,2,3,3,7.81,0.000053,0.000053,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,1,0,1,1,1,3.9,0.00001632,0.000016,1,,
1387,gi|6320400|ref|NP_010480.1|,DEAD-box protein required for efficient splicing of mitochondrial Group I and II introns; non-polar RNA helicase that also facilities strand annealing; Mss116p [Saccharomyces cerevisiae] ,664,76269,9,o,Q,MSS116,YDR194C,IV,1,2,0,1,2,2,1.51,0.00003307,X,X,X,X,X,X,X,X,1,1,0,1,1,1,3.77,0.00001354,1,1,0,1,1,1,2.26,0.00001657,0.000021,3,1,1,0,1,1,1,3.92,0.00001672,X,X,X,X,X,X,X,X,1,2,0,1,2,2,1.96,0.00003462,X,X,X,X,X,X,X,X,0.000026,2,2,2,0,2,2,2,4.52,0.00003103,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000031,1,2,3,0,2,3,3,3.92,0.00004315,2,4,0,2,4,4,3.46,0.0000588,2,2,0,2,2,2,4.22,0.000029,2,2,0,2,2,2,3.01,0.00002921,0.00004,4,4,6,0,4,6,6,9.64,0.00008126,3,4,0,3,4,4,6.33,0.00006128,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000071,2,3,5,0,3,5,5,5.87,0.00006596,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,1,0,1,1,1,2.41,0.00001322,0.00004,2,,
1388,gi|6320660|ref|NP_010740.1|,Vacuolar endopolyphosphatase with a role in phosphate metabolism; functions as a homodimer; Ppn1p [Saccharomyces cerevisiae] ,674,78344,6.9,i21-40o,A,PPN1,YDR452W,IV,3,5,0,3,5,5,8.75,0.00008145,1,1,0,1,1,1,2.82,0.00001519,1,1,0,1,1,1,2.82,0.00001334,2,3,0,2,3,3,5.04,0.00004896,0.00004,4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,1,0,1,1,1,2.82,0.00001552,0.000016,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,1,0,1,1,1,4.45,0.00001727,0.000017,1,2,4,0,2,4,4,5.04,0.00005668,2,2,0,2,2,2,7.27,0.00002897,3,5,0,3,5,5,6.53,0.00007143,2,4,0,2,4,4,5.04,0.00005755,0.000054,4,3,5,0,3,5,5,8.75,0.00006672,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,4,7,0,4,7,7,13.95,0.00009872,0.000083,2,1,1,0,1,1,1,2.82,0.000013,1,1,0,1,1,1,3.71,0.00001322,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000013,2,,
1389,gi|6323401|ref|NP_013473.1|,"Mitochondrial hsp70-type molecular chaperone, required for assembly of iron/sulfur clusters into proteins at a step after cluster synthesis, and for maturation of Yfh1p, which is a homolog of human frataxin implicated in Friedreich's ataxia; Ssq1p [Saccha",657,72365,6.4,o,Q,SSQ1,YLR369W,XII,1,2,0,1,2,2,2.44,0.00003342,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000033,1,X,X,X,X,X,X,X,X,1,1,0,1,1,1,3.04,0.00001867,1,1,0,1,1,1,2.74,0.0000175,X,X,X,X,X,X,X,X,0.000018,2,X,X,X,X,X,X,X,X,1,1,0,1,1,1,5.18,0.00001494,2,4,0,2,4,4,5.33,0.00006474,X,X,X,X,X,X,X,X,0.00004,2,1,2,0,1,2,2,5.18,0.00002907,X,X,X,X,X,X,X,X,1,2,0,1,2,2,2.44,0.00002931,2,3,0,2,3,3,7.61,0.00004428,0.000034,3,1,2,0,1,2,2,2.44,0.00002738,1,1,0,1,1,1,1.83,0.00001548,X,X,X,X,X,X,X,X,1,1,0,1,1,1,5.18,0.00001447,0.000019,3,1,2,0,1,2,2,2.74,0.00002667,X,X,X,X,X,X,X,X,1,2,0,1,2,2,2.44,0.00002919,3,4,0,3,4,4,7.15,0.00005345,0.000036,3,,
1390,gi|14318508|ref|NP_116641.1|,Subunit of the INO80 chromatin remodeling complex; Ies1p [Saccharomyces cerevisiae] ,692,78753,5.2,o,Q,IES1,YFL013C,VI,2,4,0,2,4,4,4.48,0.00006347,X,X,X,X,X,X,X,X,1,1,0,1,1,1,1.73,0.00001299,1,2,0,1,2,2,2.46,0.00003179,0.000036,3,1,1,0,1,1,1,1.73,0.00001604,2,3,0,2,3,3,3.61,0.00005319,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000035,2,1,1,0,1,1,1,1.73,0.00001489,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000015,1,1,2,0,1,2,2,2.46,0.0000276,3,4,0,3,4,4,6.94,0.00005642,X,X,X,X,X,X,X,X,2,2,0,2,2,2,4.48,0.00002803,0.000037,3,X,X,X,X,X,X,X,X,1,2,0,1,2,2,2.75,0.0000294,X,X,X,X,X,X,X,X,2,3,0,2,3,3,3.47,0.00004121,0.000035,2,1,1,0,1,1,1,2.75,0.00001266,X,X,X,X,X,X,X,X,1,1,0,1,1,1,1.88,0.00001386,1,2,0,1,2,2,2.75,0.00002537,0.000017,3,,
1391,gi|6320253|ref|NP_010334.1|,Zinc finger protein; putative transcription factor that may interact with proteins involved in histone acetylation or deacetylation; may be involved in altering acetylation on histone lysines; Ydr049wp [Saccharomyces cerevisiae] ,632,72733,8.9,o,Q,,YDR049W,IV,2,2,0,2,2,2,5.54,0.00003475,1,2,0,1,2,2,2.53,0.0000324,2,2,0,2,2,2,5.38,0.00002845,X,X,X,X,X,X,X,X,0.000032,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2,2,0,2,2,2,5.38,0.0000331,0.000033,1,1,1,0,1,1,1,2.53,0.0000163,2,3,0,2,3,3,4.27,0.0000466,X,X,X,X,X,X,X,X,1,1,0,1,1,1,2.85,0.00001841,0.000027,3,1,2,0,1,2,2,2.85,0.00003022,1,1,0,1,1,1,2.85,0.00001545,X,X,X,X,X,X,X,X,2,2,0,2,2,2,5.38,0.00003069,0.000025,3,3,5,0,3,5,5,6.8,0.00007115,2,2,0,2,2,2,5.22,0.00003219,1,1,0,1,1,1,2.53,0.00001856,X,X,X,X,X,X,X,X,0.000041,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,1,0,1,1,1,2.69,0.00001389,0.000014,1,,
1392,gi|6323868|ref|NP_013939.1|,"Non-essential protein of unknown function; exhibits synthetic lethal genetic interactions with PHO85; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies and is phosphorylated; Efr3p [Saccharomyces cere",782,89190,7.5,o,Q,EFR3,YMR212C,XIII,1,2,0,1,2,2,1.53,0.00002808,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,2,0,1,2,2,1.53,0.00002813,0.000028,2,X,X,X,X,X,X,X,X,1,2,0,1,2,2,1.79,0.00003138,2,3,0,2,3,3,3.58,0.0000441,1,2,0,1,2,2,2.05,0.00002675,0.000034,3,1,1,0,1,1,1,2.94,0.00001317,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000013,1,1,1,0,1,1,1,1.53,0.00001221,2,4,0,2,4,4,3.58,0.00004993,1,1,0,1,1,1,2.05,0.00001231,1,1,0,1,1,1,2.05,0.0000124,0.000022,4,X,X,X,X,X,X,X,X,2,4,0,2,4,4,3.84,0.00005203,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000052,1,2,3,0,2,3,3,3.58,0.00003361,1,1,0,1,1,1,2.05,0.00001139,1,1,0,1,1,1,2.05,0.00001226,X,X,X,X,X,X,X,X,0.000019,3,,
1393,gi|6325393|ref|NP_015461.1|,"Chromatin-associated protein, required for sister chromatid cohesion; interacts with DNA polymerase alpha (Pol1p) and may link DNA synthesis to sister chromatid cohesion; Ctf4p [Saccharomyces cerevisiae] ",927,104425,5.2,o,Q,CTF4,YPR135W,XVI,2,2,0,2,2,2,2.8,0.00002369,X,X,X,X,X,X,X,X,1,1,0,1,1,1,1.4,0.0000097,1,1,0,1,1,1,1.62,0.00001187,0.000015,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,2,0,1,2,2,1.4,0.0000248,X,X,X,X,X,X,X,X,0.000025,1,1,1,0,1,1,1,2.37,0.00001111,1,2,0,1,2,2,1.19,0.00002118,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000016,2,X,X,X,X,X,X,X,X,1,1,0,1,1,1,1.19,0.00001053,X,X,X,X,X,X,X,X,3,4,0,3,4,4,4.31,0.00004184,0.000026,2,1,2,0,1,2,2,1.19,0.0000194,4,7,0,4,7,7,6.58,0.00007681,3,5,0,3,5,5,6.9,0.00006326,3,3,0,3,3,3,6.69,0.00003076,0.000048,4,X,X,X,X,X,X,X,X,1,1,0,1,1,1,1.62,0.00000961,2,3,0,2,3,3,3.99,0.00003103,X,X,X,X,X,X,X,X,0.00002,2,,
1394,gi|6324143|ref|NP_014213.1|,Ubiquitin-specific protease that deubiquitinates ubiquitin-protein moieties; may regulate silencing by acting on Sir4p; involved in posttranscriptionally regulating Gap1p and possibly other transporters; primarily located in the nucleus; Ubp10p [Saccharom,792,88517,5.5,o,Q,UBP10,YNL186W,XIV,1,2,0,1,2,2,1.52,0.00002773,3,6,0,3,6,6,4.8,0.00007755,3,5,0,3,5,5,5.43,0.00005675,1,2,0,1,2,2,2.02,0.00002778,0.000047,4,1,2,0,1,2,2,1.52,0.00002803,1,1,0,1,1,1,1.52,0.00001549,X,X,X,X,X,X,X,X,1,1,0,1,1,1,1.26,0.00001321,0.000019,3,1,2,0,1,2,2,1.52,0.00002601,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000026,1,2,2,0,2,2,2,3.16,0.00002412,X,X,X,X,X,X,X,X,1,2,0,1,2,2,2.02,0.00002431,1,1,0,1,1,1,2.02,0.00001224,0.00002,3,X,X,X,X,X,X,X,X,1,1,0,1,1,1,1.64,0.00001284,1,1,0,1,1,1,1.64,0.00001481,X,X,X,X,X,X,X,X,0.000014,2,X,X,X,X,X,X,X,X,1,2,0,1,2,2,2.02,0.0000225,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000023,1,,
1395,gi|6323124|ref|NP_013196.1|,"Member of a complex (Isw1b) with Isw1p and Ioc4p that exhibits nucleosome-stimulated ATPase activity and acts within coding regions to coordinate transcription elongation with termination and processing, contains a PHD finger motif; Ioc2p [Saccharomyces c",812,93446,5.8,o,Q,IOC2,YLR095C,XII,1,1,0,1,1,1,1.48,0.00001352,X,X,X,X,X,X,X,X,1,1,0,1,1,1,2.09,0.00001107,X,X,X,X,X,X,X,X,0.000012,2,1,2,0,1,2,2,2.59,0.00002734,1,2,0,1,2,2,1.35,0.00003022,2,3,0,2,3,3,3.2,0.00004247,X,X,X,X,X,X,X,X,0.000033,3,2,4,0,2,4,4,4.68,0.00005074,2,2,0,2,2,2,2.83,0.00002418,1,1,0,1,1,1,1.35,0.0000131,1,2,0,1,2,2,2.59,0.00002866,0.000029,4,X,X,X,X,X,X,X,X,2,3,0,2,3,3,4.68,0.00003606,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000036,1,X,X,X,X,X,X,X,X,1,1,0,1,1,1,1.35,0.00001253,X,X,X,X,X,X,X,X,1,2,0,1,2,2,2.09,0.00002341,0.000018,2,1,2,0,1,2,2,2.59,0.00002158,X,X,X,X,X,X,X,X,1,1,0,1,1,1,1.48,0.00001181,X,X,X,X,X,X,X,X,0.000017,2,,
1396,gi|6323962|ref|NP_014033.1|,Ubiquitin-specific protease that may play a role in ubiquitin precursor processing; Ubp15p [Saccharomyces cerevisiae] ,1230,143563,5,o,Q,UBP15,YMR304W,XIII,3,4,0,3,4,4,4.96,0.00003571,X,X,X,X,X,X,X,X,2,4,0,2,4,4,3.17,0.00002923,X,X,X,X,X,X,X,X,0.000032,2,1,1,0,1,1,1,1.54,0.00000902,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.000009,1,X,X,X,X,X,X,X,X,1,1,1,1,0,0,1.54,X,X,X,X,X,X,X,X,X,1,1,0,1,1,1,1.3,0.00000946,0.000009,1,4,5,0,4,5,5,5.77,0.00003883,4,7,0,4,7,7,5.85,0.00005555,6,9,0,6,9,9,9.35,0.00007045,5,8,0,5,8,8,7.07,0.00006307,0.000057,4,3,4,0,3,4,4,4.55,0.00002925,2,3,0,2,3,3,3.01,0.00002481,1,1,0,1,1,1,1.54,0.00000954,2,3,0,2,3,3,3.09,0.00002318,0.000022,4,1,1,0,1,1,1,1.54,0.00000712,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,1,0,1,1,1,1.54,0.00000714,0.000007,2,,
1397,gi|6321952|ref|NP_012028.1|,"Protein required for proper cell fusion and cell morphology; functions in a complex with Kel2p to negatively regulate mitotic exit, interacts with Tem1p and Lte1p; localizes to regions of polarized growth; potential Cdc28p substrate; Kel1p [Saccharomyces ",1164,131094,5.4,o,Q,KEL1,YHR158C,VIII,3,4,0,3,4,4,3.69,0.00003773,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2,3,0,2,3,3,2.41,0.00002835,0.000033,2,1,1,0,1,1,1,1.29,0.00000954,2,3,0,2,3,3,2.06,0.00003162,X,X,X,X,X,X,X,X,1,2,0,1,2,2,0.77,0.00001797,0.00002,3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,2,0,1,2,2,1.12,0.00001999,0.00002,1,1,2,0,1,2,2,2.58,0.00001641,1,1,0,1,1,1,1.63,0.00000839,2,3,0,2,3,3,4.04,0.00002481,4,6,0,4,6,6,7.13,0.00004999,0.000025,4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,1,0,1,1,1,0.86,0.00001008,2,2,0,2,2,2,2.84,0.00001633,0.000013,2,X,X,X,X,X,X,X,X,1,1,0,1,1,1,1.46,0.00000765,2,2,0,2,2,2,2.06,0.00001647,X,X,X,X,X,X,X,X,0.000012,2,,
